itemCode,itemDescription,averageCost,supplier,assortmentType
01110030002278,Beef Picadillo Disposal 1 svg,21.897200,LAWSON,In assortment
01110030002279,Chili Con Carne Disposal 1 svg,21.674900,LAWSON,In assortment
01110030002280,Chicken Adobo Disposal 1 svg,26.666600,LAWSON,In assortment
01110030002281,Fiesta Menudo Disposal 1 svg,26.666600,LAWSON,In assortment
01110030002282,Salisbury Steak Disposal 1 svg,26.666600,LAWSON,In assortment
01110030002283,Pork Steak Disposal 1 svg,26.666600,LAWSON,In assortment
01110030002284,Chicken Afritada Disposal 1 svg,26.666600,LAWSON,In assortment
01110030002285,Pork Sisig Disposal 1 svg,27.566875,LAWSON,In assortment
01110030002286,Chicken Sisig Disposal 1 svg,27.566875,LAWSON,In assortment
01110030002287,Pork Giniling Disposal 1 svg NL,23.883900,LAWSON,In assortment
01110030002391,Egg Mayo Sandwich,32.500000,QBites Inc.,Out of assortment
01110030002392,Ham & Egg Mayo Sandwich,32.500000,QBites Inc.,Out of assortment
01110030002534,Oriental Chicken Pasta ( Qbites),37.142800,QBites Inc.,In assortment
01110030002535,Spaghetti with Meatballs,37.142800,QBites Inc.,In assortment
01110030002537,Mushroom Gravy Meatballs w/ Unli Rice,38.427800,QBites Inc.,Out of assortment
01110030002550,LC Macaroni Salad 80g,23.214200,QBites Inc.,Out of assortment
01110030002552,LC Macaroni Salad 150g,37.142900,QBites Inc.,In assortment
01110030002558,X-Cheesy Cheese Mamon,25.892900,Breadtalk Philippines. Inc.,In assortment
01110030002559,Ube Ensaymada,34.821400,Breadtalk Philippines. Inc.,Out of assortment
01110030002562,Monde Strawberry Shortcake,22.321400,QBites Inc.,Out of assortment
01110030002595,Chicken Mushroom Soy P69,33.524100,LAWSON,Out of assortment
01110030002596,Korean Pork Stew P69,33.524100,LAWSON,Out of assortment
01110030002597,Beef Gyudon P69,33.524100,LAWSON,Out of assortment
01110030002598,Pork Paksiw P69,33.524100,LAWSON,Out of assortment
01110030002601,Meatballs with Mushroom Gravy P59,29.054600,LAWSON,Out of assortment
01110030002602,Meatballs with Sweet and Sour P59,29.054600,LAWSON,In assortment
01110030002608,Lechon Paksiw P59,36.511700,LAWSON,Out of assortment
01110030002624,Chicken Mushroom Soy Disposal 1 svg,26.560000,LAWSON,In assortment
01110030002625,Korean Pork Stew Disposal 1svg,26.560000,LAWSON,undefined**
01110030002626,Beef Gyudon Disposal 1svg,26.560000,LAWSON,In assortment
01110030002627,Pork Paksiw Disposal 1svg,26.560000,LAWSON,In assortment
01110030002628,Meatballs with Mushroom Gravy Disposal 1svg,22.676800,LAWSON,In assortment
01110030002629,Meatballs with Sweet and Sour Disposal 1svg,22.676800,LAWSON,In assortment
01110030002630,Lechon Paksiw Disposal 1svg,30.133900,LAWSON,In assortment
01110030002641,Pork Binagoongan P69,36.511700,LAWSON,Out of assortment
01110030002648,Pork Binagoongan Disposal 1 svg,30.133900,LAWSON,In assortment
01110030002650,Special Pork Sisig,32.777200,LAWSON,In assortment
01110030002651,Special Chicken Sisig,32.777200,LAWSON,In assortment
01110030002682,Steamed Hotdog Classic w/ Unlimited Rice,20.415900,LAWSON,Out of assortment
01110030002684,Steamed Hotdog Cheese w/ Unlimited Rice,22.120500,LAWSON,Out of assortment
01110030002885,Tuna Pesto Sandwich (INACTIVE),29.464200,QBites Inc.,In assortment
01110030002886,Tuna Salpicao Lunchbox with Unli Rice,39.413500,LAWSON,In assortment
01110030002887,Thai Curry Sardines Lunchbox with Unli Rice,39.413500,LAWSON,Out of assortment
01110030002892,Glazed Fruit Cocktail with Apple,23.214200,QBites Inc.,In assortment
01110030002937,Chunky Chicken Penne Pasta,35.285700,QBites Inc.,Out of assortment
01110030002938,Shredded Beef Spaghetti,35.285700,QBites Inc.,Out of assortment
01110030002941,MD Classic Choco Flat Tops Donut,15.630000,Deliscents, Inc,In assortment
01110030003023,Monde Banana Cream Pie,23.214200,QBites Inc.,In assortment
01110030003024,Monde Mango Float,23.214200,QBites Inc.,In assortment
01110030003081,MD Caramel Baked Bites,10.044600,Deliscents, Inc,In assortment
01110030003083,MD Cheese Baked Bites,10.044600,Deliscents, Inc,In assortment
01110030003149,Embutido w/ Unli Rice P49,20.677800,LAWSON,In assortment
01110030003211,Bologna with Unli Rice P49,16.176100,LAWSON,In assortment
01110030003212,Embutido 1pc Disposal,4.761900,LAWSON,In assortment
01110030003213,Wow Bologna Disposal 1svg,9.636400,LAWSON,In assortment
01110030003250,Breakfast Garlic Rice Meal,41.071400,LAWSON,Out of assortment
01110030003252,2 Pieces Embotido + 1cup Rice,14.262000,LAWSON,In assortment
01110030003253,2 Pieces Sweet Ham + 1 cup Rice,14.291600,LAWSON,In assortment
01110030003254,2 Pieces Bologna + 1 pc Sweet Ham + 1 cup rice,14.165200,LAWSON,In assortment
01110030003255,3 Pieces Bologna + 1 cup rice,11.965800,LAWSON,In assortment
01110030003265,Beef Giniling Meal,18.750000,Beatrice Kitchen Inc.,Out of assortment
01110030003266,Ground Beef Steak Meal,18.750000,Beatrice Kitchen Inc.,Out of assortment
01110030003267,Pork Menudo Meal,18.750000,Beatrice Kitchen Inc.,Out of assortment
01110030003269,XX-MD Filled Choco Swiss Mocha,13.928599,Deliscents, Inc,In assortment
01110030003270,MD Filled Choco Strawberry,13.928599,Deliscents, Inc,In assortment
01110030003285,Chocolate Cake,37.500000,ATASHA'S PASTRY STATION,In assortment
01110030003286,Strawberry Cake,36.600700,ATASHA'S PASTRY STATION,In assortment
01110030003287,Carrot Cake,40.178500,ATASHA'S PASTRY STATION,In assortment
01110030003393,4IN1 Sandwich,32.500000,QBites Inc.,In assortment
01110030003461,Sisig Caldereta P69,30.759200,LAWSON,Out of assortment
01110030003462,Sisig Bicol Express P69,30.773507,LAWSON,Out of assortment
01110030003469,Bopis P69,28.713500,LAWSON,In assortment
01110030003472,Pork Mexican P69,28.713500,LAWSON,In assortment
01110030003475,Menudo P69,27.955915,LAWSON,In assortment
01110030003476,Pork Giniling P69,28.044682,LAWSON,In assortment
01110030003479,Bopis Disposal 1svg,22.321375,LAWSON,In assortment
01110030003480,Pork Mexican Disposal 1 svg,22.321375,LAWSON,In assortment
01110030003481,Menudo Disposal 1svg,22.321375,LAWSON,In assortment
01110030003482,Pork Giniling Disposal 1svg FB,22.321375,LAWSON,In assortment
01110030003484,Sisig Bicol Express Dipsosal 1svg,23.809400,LAWSON,In assortment
01110030003529,MD Choco Chip Cookie,13.392800,Deliscents, Inc,In assortment
01110030003561,Pumpkin and Zucchini Slice,-1.000000,Beatrice Kitchen Inc.,In assortment
01110030003575,MD Christmas Brownies 6pcs,66.294600,Deliscents, Inc,In assortment
01110030003602,Fiesta Ham with Salted Egg Sandwich,39.285700,QBites Inc.,In assortment
01110030003603,Fiesta Ham with Coco Butter Sandwich,39.285700,QBites Inc.,In assortment
